Category,Product Name,Price,Rating,Reviews,Product Link,Page Number
Electronics,"boAt Type A to C 65W Fast Charging Cable with 480 Mbps Data Transfer, Tangle-Free Cable in Premium Nylon Braided Design & Durable Aluminium Alloy Shell (Carbon Black)",189,4.0 out of 5 stars,,https://www.amazon.in/boAt-Charging-Transfer-Tangle-Free-Aluminium/dp/B0FMR16CSW/ref=sr_1_35?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,"Apple iPad 11″: A16 chip, 27.69 cm (11″) Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life — Blue",33999,4.6 out of 5 stars,,https://www.amazon.in/Apple-iPad-11%E2%80%B3-Display-All-Day/dp/B0DZ7C519W/ref=sr_1_36?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,"Redmi Pad 2 Pro [Smartchoice] | 12000mAh | Snapdragon 7s Gen 4 |12.1-inch, 2.5K Display |83+ Days Standby |HyperOS 2 |120Hz| Dolby Vision Atmos | Wi-Fi 6| AI Powered | 8GB,128GB |Graphite Grey",24999,4.2 out of 5 stars,,https://www.amazon.in/Redmi-Smartchoice-12000mAh-Snapdragon-12-1-inch/dp/B0GDPWLJMM/ref=sr_1_37?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,"REDMI A7 Pro 5G (Mist Blue, 4GB RAM,128GB Storage) | Segment's Fastest Processor | Segment's Largest Battery | Segment's Largest & Smoothest 6.9in 120Hz Display",12999,3.5 out of 5 stars,,https://www.amazon.in/Storage-Segments-Fastest-Processor-Smoothest/dp/B0GS5Y6BD3/ref=sr_1_38?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,"TheGiftKart Ultra-Hybrid Crystal Clear Back Case Cover for iPhone 17 Pro Max | Shockproof Design | Hard Back Cover Case for iPhone 17 Pro Max (PC & TPU, Transparent)",277,4.2 out of 5 stars,,https://www.amazon.in/TheGiftKart-Ultra-Hybrid-iPhone-Pro-Max/dp/B0FN8CDJ2R/ref=sr_1_39?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,"Lifelong Electronics Lightbeam Smart Projector | Android, 1080P& 4K Ultra Support, 3000 Lumens, 720p Native | for Room & Outdoors | All OTT Apps | WiFi/BT, Mirroring, USB, HDMI, 180°, Speakers",5219,4.2 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTc5MTk5NDU3NDgzMDkxOjE3Nzg2NTQ2MzA6c3BfbXRmX2Jyb3dzZTozMDAyMjY0MTY3NzA2MzI6OjA6Og&url=%2FLifelong-Lightbeam-Projector-Resolution-Rotabable%2Fdp%2FB0D6BS8S1N%2Fref%3Dsr_1_40_sspa%3Fdib%3DeyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk%26dib_tag%3Dse%26qid%3D1778654630%26s%3Delectronics%26aref%3DhzM3MBahjB%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1&aref=hzM3MBahjB&sp_cr=ZAZ,2
Electronics,"Lifelong Electronics ROAR Projector with 2 Mics | Booming 20W Speakers | Cricket Commentary, Karaoke Party & Room Cinema | 1080P & 4K Ultra HD Support | All Android OTT Apps | Ultra Bright 150” Screen",8499,4.1 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTc5MTk5NDU3NDgzMDkxOjE3Nzg2NTQ2MzA6c3BfbXRmX2Jyb3dzZTozMDEwODU4NDc3Mjc2MzI6OjA6Og&url=%2FLifelong-Electronics-Projector-Speakers-Commentary%2Fdp%2FB0GNSPQLP7%2Fref%3Dsr_1_41_sspa%3Fdib%3DeyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk%26dib_tag%3Dse%26qid%3D1778654630%26s%3Delectronics%26aref%3DFwJcSHGDk3%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1&aref=FwJcSHGDk3&sp_cr=ZAZ,2
Electronics,"WZATCO Yuva Go Max, Android 13, Fully Automatic, Smart Home Projector, Native 1080P, Live TV, ARC, WiFi 6 & BT, Screen Mirroring, 11000 Lumens, Portable Room Cinema, Grey",8990,4.2 out of 5 stars,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTc5MTk5NDU3NDgzMDkxOjE3Nzg2NTQ2MzA6c3BfbXRmX2Jyb3dzZTozMDA5MDg4Mzg0OTMyMzI6OjA6Og&url=%2FWZATCO-Automatic-Projector-Mirroring-Portable%2Fdp%2FB0FM8BCQV2%2Fref%3Dsr_1_42_sspa%3Fdib%3DeyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk%26dib_tag%3Dse%26qid%3D1778654630%26s%3Delectronics%26aref%3D1aMowXH9Ha%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1&aref=1aMowXH9Ha&sp_cr=ZAZ,2
Electronics,"realme Buds T500 Pro TWS Earbuds with 12.4mm Drivers, Upto 50dB ANC,3D Spatial Audio, 56H Playtime, AI ENC, IP55 Rating, and 45ms Low Latency BT 6.1 (Chocolate)",2599,4.4 out of 5 stars,,https://www.amazon.in/realme-Earbuds-Drivers-Playtime-Chocolate/dp/B0GVZ7JJRP/ref=sr_1_43?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
Electronics,"realme 16 5G Smartphone 6.57"" AMOLED 120Hz Display, 8GB RAM 128 ROM 7000mAh Titan Battery 60W Fast Charge, Dual 50MP AI Camera, MediaTek Dimensity 6400 Turbo Processor, IP69 Air Black",31999,4.4 out of 5 stars,,https://www.amazon.in/realme-Smartphone-MediaTek-Dimensity-Processor/dp/B0GTVHVBBK/ref=sr_1_44?dib=eyJ2IjoiMSJ9.D_faSnsRp1s7eMUHUKKP89QDlz1tWnR0joBr7JwRA5opGLLb0gIiivwxRykaon_Rxoj0AmM4xMJgVZY5ZyLGPLLCFXtDFgJBUSAJgM5JdSQI7Bx4vZA1kL3xjScye3-8oW8Dm0qdfaXbuGPLiyCKuZDC42MvQkCyUTLcIjlfJGnDYbT_4qjXvGqS7g0qup7JmcXkN5QAgmkOg9l9ylaTNY2o0CRjt7_Y2BbVF6reWrbmw6dZv5KAohJ5_nr26PMNYxjN4RKVKvn-zB-ZRNMkfklK9F96KKCG6PNJiCtGIE8.JadZGVJTy-3Icsf07RZo82I9qcVDZyYR_a75kZA16Qk&dib_tag=se&qid=1778654630&s=electronics,2
